«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг;финансовая грамотность;3
«Формула Единства»/«Третье тысячелетие»;иностранный язык;3
«Формула Единства»/«Третье тысячелетие»;математика;2
«Формула Единства»/«Третье тысячелетие»;физика;2
XVI Южно-Российская межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, живопись, композиция, черчение);рисунок, живопись, композиция, черчение;1
Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей;теория и история музыки;2
Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей;инструменты народного оркестра;2
Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей;музыкальная педагогика и исполнительство;2
Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей;струнные инструменты;2
Всероссийская (с международным участием) олимпиада учащихся музыкальных колледжей;хоровое дирижирование;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;цифровые технологии в архитектуре;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;разработка компьютерных игр;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;беспилотные авиационные системы;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;технологии беспроводной связи;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;большие данные и машинное обучение;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;технологии дополненной реальности;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;искусственный интеллект;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;технологии виртуальной реальности;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;технологическое предпринимательство;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;автоматизация бизнес-процессов;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;водные робототехнические системы;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;автономные транспортные системы;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;информационная безопасность;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;интеллектуальные робототехнические системы;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;передовые производственные технологии;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;анализ космических снимков и геопространственных данных;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;фотоника;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;аэрокосмические системы;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;нейротехнологии и когнитивные науки;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;инженерные биологические системы;2
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;ядерные технологии;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;новые материалы;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;геномное редактирование;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;спутниковые системы;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;летающая робототехника;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;умный город;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;наносистемы и наноинженерия;3
Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»;интеллектуальные энергетические системы;3
Всероссийская олимпиада по искусственному интеллекту;искусственный интеллект;2
Всероссийская олимпиада по музыкально-теоретическим дисциплинам для учащихся детских музыкальных школ и детских школ искусств;теория и история музыки;2
Всероссийская олимпиада школьников «Юридические высоты!»;право;3
Всероссийская олимпиада школьников «Высшая проба»;биология;1
Всероссийская олимпиада школьников «Высшая проба»;востоковедение;2
Всероссийская олимпиада школьников «Высшая проба»;география;2
Всероссийская олимпиада школьников «Высшая проба»;дизайн;1
Всероссийская олимпиада школьников «Высшая проба»;восточные языки;2
Всероссийская олимпиада школьников «Высшая проба»;иностранный язык;1
Всероссийская олимпиада школьников «Высшая проба»;информатика;1
Всероссийская олимпиада школьников «Высшая проба»;история;1
Всероссийская олимпиада школьников «Высшая проба»;история мировых цивилизаций;2
Всероссийская олимпиада школьников «Высшая проба»;анализ данных;3
Всероссийская олимпиада школьников «Высшая проба»;культурология;1
Всероссийская олимпиада школьников «Высшая проба»;филология;1
Всероссийская олимпиада школьников «Высшая проба»;математика;1
Всероссийская олимпиада школьников «Высшая проба»;обществознание;1
Всероссийская олимпиада школьников «Высшая проба»;международные отношения;3
Всероссийская олимпиада школьников «Высшая проба»;политология;1
Всероссийская олимпиада школьников «Высшая проба»;право;1
Всероссийская олимпиада школьников «Высшая проба»;психология;2
Всероссийская олимпиада школьников «Высшая проба»;русский язык;1
Всероссийская олимпиада школьников «Высшая проба»;социология;1
Всероссийская олимпиада школьников «Высшая проба»;журналистика;1
Всероссийская олимпиада школьников «Высшая проба»;физика;2
Всероссийская олимпиада школьников «Высшая проба»;философия;1
Всероссийская олимпиада школьников «Высшая проба»;химия;2
Всероссийская олимпиада школьников «Высшая проба»;финансовая грамотность;1
Всероссийская олимпиада школьников «Высшая проба»;экономика;1
Всероссийская олимпиада школьников «Высшая проба»;основы бизнеса;2
Всероссийская олимпиада школьников «Высшая проба»;инженерные науки;2
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»;иностранный язык;3
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»;история;3
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»;математика;3
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»;обществознание;3
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»;экономика;3
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»;финансовая грамотность;3
Всероссийская Сеченовская олимпиада школьников;биология;2
Всероссийская Сеченовская олимпиада школьников;химия;2
Всероссийская Толстовская олимпиада школьников;история;3
Всероссийская Толстовская олимпиада школьников;литература;2
Всероссийская Толстовская олимпиада школьников;обществознание;3
Всероссийская Толстовская олимпиада школьников;право;3
Всероссийская экономическая олимпиада школьников имени Н.Д. Кондратьева;экономика;1
Всероссийский конкурс научных работ школьников «Юниор»;естественные науки;3
Всероссийский конкурс научных работ школьников «Юниор»;инженерные науки;3
Всесибирская открытая олимпиада школьников;биология;2
Всесибирская открытая олимпиада школьников;информатика;1
Всесибирская открытая олимпиада школьников;математика;2
Всесибирская открытая олимпиада школьников;физика;2
Всесибирская открытая олимпиада школьников;химия;1
Вузовско-академическая олимпиада по информатике;информатика;1
Герценовская олимпиада школьников;география;2
Герценовская олимпиада школьников;иностранный язык;2
Городская открытая олимпиада школьников по физике;физика;2
Государственный аудит;обществознание;2
Инженерная олимпиада школьников;физика;2
Интернет-олимпиада школьников по физике;физика;1
Кутафинская олимпиада школьников по праву;право;1
Междисциплинарная олимпиада школьников имени В.И. Вернадского;гуманитарные и социальные науки;1
Международная Менделеевская олимпиада школьников по химии;химия;1
Международная олимпиада «Innopolis Open»;информатика;1
Международная олимпиада «Innopolis Open»;информационная безопасность;1
Международная олимпиада «Innopolis Open»;робототехника;3
Международная олимпиада «Innopolis Open»;математика;3
Международная олимпиада по финансовой безопасности;финансовая безопасность;1
Международная олимпиада школьников «Искусство графики»;графический дизайн;1
Международная олимпиада школьников «Искусство графики»;рисунок;1
Международная олимпиада школьников Уральского федерального университета «Изумруд»;информатика;3
Международная олимпиада школьников Уральского федерального университета «Изумруд»;история;3
Международная олимпиада школьников Уральского федерального университета «Изумруд»;математика;3
Международная олимпиада школьников Уральского федерального университета «Изумруд»;обществознание;3
Международная олимпиада школьников Уральского федерального университета «Изумруд»;русский язык;3
Международная олимпиада школьников Уральского федерального университета «Изумруд»;химия;3
Межрегиональная олимпиада по праву «ФЕМИДА»;право;2
Межрегиональная олимпиада школьников «САММАТ»;математика;3
Межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, композиция);искусство;1
Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»;биология;2
Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»;история;2
Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»;математика;3
Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»;русский язык;2
Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»;физика;2
Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»;химия;2
Межрегиональная олимпиада школьников «Евразийская лингвистическая олимпиада»;иностранный язык;1
Межрегиональная олимпиада школьников имени В.Е. Татлина;графика;2
Межрегиональная олимпиада школьников имени В.Е. Татлина;композиция;2
Межрегиональная олимпиада школьников имени В.Е. Татлина;рисунок;2
Межрегиональная олимпиада школьников имени И.Я. Верченко;компьютерная безопасность;2
Межрегиональная олимпиада школьников имени И.Я. Верченко;математика;2
Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций;иностранный язык;3
Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций;математика;2
Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций;обществознание;3
Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций;физика;2
Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»;дизайн;1
Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»;иностранный язык;3
Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»;информатика;3
Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»;математика;3
